bigram phrase,frequency
attack that,8
mainstream media,8
he had,8
is you,8
say about,8
americans to,8
you've got,8
selling the,8
me give,8
been the,8
country around,8
i gotta,8
democratic party,8
leadership took,8
nation a,8
fact the,8
reform that,8
this body,8
insurance personal,8
us that,8
personal and,8
we must,8
big government,8
liberty and,8
votes in,8
we say,8
preaching the,8
the eyes,8
imagine instead,8
we've seen,8
will never,8
have an,8
and his,8
up together,8
the planet,8
an hour,8
and i'm,8
in iowa,8
obama will,8
the standard,8
the court,8
off the,8
budget caps,8
catastrophic deal,8
has stood,8
should have,8
the safety,8
will fight,8
think about,8
administration and,8
it down,7
support of,7
same time,7
the outset,7
order to,7
are today,7
the reporters,7
tear down,7
the terrorists,7
to iran,7
back home,7
and their,7
a pattern,7
republican house,7
hundred billion,7
with our,7
is coming,7
stop that,7
take the,7
the military,7
do the,7
america is,7
the iran,7
know the,7
too many,7
agency that,7
not have,7
chief who,7
we keep,7
would go,7
republicans and,7
if only,7
minister netanyahu,7
a political,7
d c,7
nothing to,7
of one,7
the nineteen,7
the constitutional,7
years old,7
the iranian,7
rights and,7
republican presidential,7
grass roots,7
they come,7
will only,7
give up,7
is how,7
that there,7
watch the,7
war and,7
you watch,7
my mother,7
it took,7
or not,7
deal that,7
a number,7
caught on,7
or a,7
my friend,7
know you,7
if it,7
in his,7
vote on,7
process of,7
the commitments,7
reagan coalition,7
refuses to,7
is also,7
be clear,7
the lord,7
of an,7
did that,7
bunch of,7
know it's,7
to understand,7
a commander,7
the idea,7
persecution of,7
of hope,7
now in,7
so what,7
say they,7
time to,7
of being,7
get back,7
absolutely nothing,7
washington is,7
his job,7
the largest,7
table the,7
whole lot,7
you go,7
open an,7
why we,7
told us,7
the us,7
a month,7
in bed,7
here a,7
a half,7
in syria,7
to what,7
ten commandments,7
we may,7
votes that,7
made this,7
purpose of,7
threat facing,7
fight the,7
now i,7
we're gonna,7
question you,7
in between,7
with their,7
it be,7
the old,7
did you,7
is now,7
sanctuary cities,7
done that,7
lead in,7
world's leading,7
to know,7
of men,7
will vote,7
say the,7
citizens of,7
the late,7
his life,7
saeed abedini,7
dangerous place,7
know this,7
the top,7
washing dishes,7
in order,7
coming to,7
in recent,7
time and,7
the process,7
to utter,7
you live,7
win the,7
great state,7
the political,7
giant corporations,7
marriage and,7
what an,7
would do,7
regardless of,7
the mainstream,7
be willing,7
to lift,7
ago on,7
in january,7
to president,7
mother and,7
ll tell,7
i do,7
won't do,7
and republicans,7
law of,7
gonna be,7
to acquire,7
like to,7
this iranian,7
standing for,7
goes after,7
be different,7
fort hood,7
k street,7
under assault,7
up against,7
get to,7
will take,7
idea that,7
to your,7
gonna have,7
didn t,7
you today,7
and opportunity,7
this chamber,7
other federal,7
is this,7
thousands of,7
used to,7
people to,7
show votes,7
country millions,7
washington d,7
it with,7
the consequences,7
today and,7
how different,7
nothing and,7
did not,7
are right,7
two little,7
that when,7
led by,7
from all,7
and god,7
senate democrats,7
can you,7
2013 when,7
and that's,7
bless the,7
it all,7
join with,7
circumstances will,7
contrary to,7
weeks ago,7
pro choice,7
billion to,7
which would,7
for hillary,7
one thing,7
our enemies,7
justice to,7
no you,7
you if,7
we voted,7
for seven,7
not gonna,7
where it,7
arms and,7
money to,7
who was,7
filled with,7
of terrorism,7
priorities of,7
utter the,7
this election,7
fight over,7
of texas,7
the deal,7
growing and,7
to tear,7
then it,7
federal agency,7
wave election,7
and they're,7
deal the,7
point out,7
put in,7
that same,7
and standing,7
problem is,7
half of,7
booming economic,7
amendment is,7
republicans who,7
the syrian,7
american embassy,7
this room,7
to an,7
seeks to,7
i tell,7
justice and,7
the persecution,7
moving the,7
do is,7
will you,7
ambassador kirkpatrick,7
you all,7
he's got,7
it in,7
will support,7
doesn't believe,7
with nothing,7
would encourage,7
shut down,7
made to,7
the globe,7
their lives,7
when they,7
he is,7
getting in,7
embassy in,7
to rebuild,7
and end,7
part time,7
a dirty,6
worried about,6
fighting for,6
that goes,6
with me,6
my first,6
third thing,6
out on,6
commitment to,6
came out,6
i'm here,6
in funding,6
party or,6
in december,6
other candidates,6
this president,6
a book,6
show vote,6
receded from,6
standard is,6
take it,6
jeff sessions,6
welcome to,6
those americans,6
through the,6
understand that,6
note by,6
after that,6
lead the,6
states we,6
of hillary,6
repealing obamacare,6
phone and,6
gotta tell,6
obama justice,6
scripture tells,6
where you,6
be to,6
seen a,6
it we,6
time of,6
osama bin,6
a way,6
of faith,6
and we're,6
will defend,6
a clear,6
of moving,6
get in,6
ask everyone,6
leadership says,6
washington washington,6
to lose,6
happening again,6
you're not,6
acquire nuclear,6
us rose,6
veto funding,6
majorities in,6
has said,6
that works,6
and woman,6
george w,6
america's leadership,6
the two,6
a bipartisan,6
ago i,6
me so,6
accept it,6
work for,6
five years,6
to hillary,6
week ago,6
reigniting the,6
it the,6
our 2nd,6
almighty with,6
of god,6
you notice,6
to force,6
man and,6
the current,6
if he,6
they did,6
we continue,6
don't get,6
friends in,6
things would,6
to those,6
are hurting,6
the fundamental,6
liberty or,6
protecting the,6
at that,6
the working,6
common core,6
folks in,6
first of,6
in 2016,6
gang of,6
voted on,6
means the,6
in iran,6
a strong,6
investigation into,6
today in,6
washington despised,6
law enforcement,6
not one,6
the marriage,6
side that,6
was that,6
imagine america,6
last seven,6
being a,6
for big,6
it's the,6
on his,6
dollars in,6
and religious,6
regulatory reform,6
was an,6
president is,6
into planned,6
the border,6
and encouragement,6
is why,6
capital of,6
put it,6
carried out,6
the day,6
are all,6
will get,6
constitution and,6
home in,6
the videos,6
our friends,6
opportunity to,6
has not,6
republicans in,6
with my,6
never ever,6
as much,6
six years,6
our military,6
democrats are,6
an incredible,6
bankrupting our,6
like a,6
bless you,6
course of,6
off a,6
that on,6
by president,6
he didn't,6
here is,6
would say,6
russia and,6
she looked,6
denying a,6
weapons if,6
but we,6
the priorities,6
know i'm,6
steve king,6
you had,6
in front,6
in unison,6
a christian,6
of planned,6
wanna know,6
are still,6
their doctors,6
obama's priorities,6
ten times,6
iran to,6
in libya,6
today because,6
handful of,6
that but,6
abolishing the,6
different the,6
begin the,6
today i,6
to find,6
and not,6
not an,6
votes were,6
from a,6
executive action,6
the fact,6
failed economic,6
prepared to,6
clear to,6
carter administration,6
call your,6
jerusalem the,6
dot org,6
wonder the,6
and chuck,6
front of,6
and millions,6
the best,6
far too,6
those votes,6
and those,6
interests and,6
