bigram phrase,frequency
know who,32
and vote,32
billion dollar,32
are all,32
we haven't,32
much bigger,32
you we,32
hundred percent,32
trade center,32
let it,32
them a,32
go on,32
is now,32
that people,32
have great,32
he's the,32
into a,32
it's one,32
am i,32
to stop,32
to find,32
we're getting,32
the fact,32
was in,32
problem with,32
them but,32
well we,32
a week,32
come into,32
i feel,32
but in,32
saying that,32
back from,32
let's go,32
don't win,32
too much,32
what is,32
put it,32
even though,32
why they,32
general george,32
happened to,32
that so,32
just about,32
is in,32
i watched,32
with japan,32
want you,32
are in,32
they could,32
mean we,32
it with,32
come to,32
to watch,32
there i,32
she did,32
not good,32
the drugs,32
money to,32
win with,32
way the,32
they never,32
to hear,32
take our,32
that were,32
gotta be,32
the election,32
been so,32
thing we,32
than that,32
we know,32
said why,32
into our,32
just so,32
he's got,32
know where,32
gonna run,32
much better,32
anymore we,32
why would,30
pretty good,30
to hell,30
who cares,30
when the,30
osama bin,30
leaders are,30
good at,30
out the,30
people were,30
it just,30
allowed to,30
business people,30
of america,30
one day,30
be there,30
with my,30
after the,30
first of,30
don't use,30
don't see,30
low energy,30
it now,30
jobs and,30
now in,30
he says,30
lot and,30
problem is,30
think so,30
in paris,30
i haven't,30
country back,30
down to,30
other side,30
we never,30
have we,30
read about,30
we we,30
back on,30
a real,30
doing so,30
thing you,30
a woman,30
in front,30
money we,30
he'll never,30
said don't,30
called me,30
said i'm,30
think the,30
now but,30
was right,30
i put,30
ago they,30
about two,30
here's the,30
have i,30
get to,30
the drug,30
so it's,30
did i,30
give it,30
because we're,30
but these,30
he came,30
a terrible,30
part of,30
many other,30
of thousands,30
all talk,30
money that,30
other countries,30
us they,30
said how,30
was it,30
would never,30
could you,30
can make,30
it really,30
how you,30
other night,30
back we,30
to these,30
what she,30
is you,30
build it,30
put in,30
stop it,30
i gotta,30
in every,30
before and,30
budget and,30
one i,30
a beautiful,30
big deal,30
want your,30
or something,30
number of,30
now that,30
it comes,30
the supreme,30
guy but,30
the enemy,30
to vote,28
on trade,28
us we,28
can't even,28
country but,28
never been,28
a politician,28
one in,28
three years,28
think he's,28
do so,28
and just,28
it's good,28
