trigram phrase,frequency
is going on,16
get a call,16
i was with,16
don't think so,16
we all have,16
down and i,16
people you know,16
and i'll say,16
to make this,16
why do we,16
go back to,16
get a lot,16
than it's ever,16
talk and no,16
like you know,16
millions of people,16
i can't do,16
at the border,16
bring it up,16
and she said,16
in the meantime,16
what's gonna happen,16
come back and,16
one hundred and,16
and that's the,16
if you have,16
it was really,16
i said no,16
whatever it is,16
i said that's,16
so if you,16
what i want,16
the hell is,16
to do with,16
as a country,16
billion dollars we,16
to the people,16
gotta get out,16
we take care,16
side of the,16
it bigger and,16
they said he,16
we have all,16
that you don't,16
mess with us,16
always talk about,16
if you remember,16
seventy nine thousand,16
the obama administration,16
said this is,16
our country but,16
and now they,16
him and i,16
think it's a,16
i'm not going,16
the middle of,16
but one of,16
going to let,16
so when i,16
something going on,16
they say the,16
because i want,16
to take our,16
but in the,16
most of the,16
said no way,16
in south carolina,16
i will never,16
and it is,16
said im not,16
so many different,16
there is a,16
a half billion,16
all talk and,16
was such a,16
of america building,16
so you understand,16
i'm not saying,16
you do that,16
which by the,16
this is going,16
and people are,16
and have a,16
we need people,16
you believe that,16
have to make,16
to this day,16
of months ago,16
with the military,16
two trillion dollars,16
and they should,16
you know some,16
you're not going,16
best in the,16
how would you,16
that i don't,16
that's what's going,16
i think they,16
have the greatest,16
health care we're,16
make it bigger,16
there was a,16
if you think,16
go into iraq,16
here we have,16
i mean the,16
that he was,16
what a great,16
be the best,16
now and i,16
china and japan,16
really want to,16
took a lot,16
of those people,16
so you have,16
said i think,16
he is a,16
so i go,16
and i'm telling,16
women's health issues,16
the oil and,16
this is what,16
of money and,16
that they don't,16
don't do anything,16
trillions of dollars,16
to do you,16
you wouldn't believe,16
it doesn't work,16
that i was,16
i really believe,16
you know he's,16
over the wall,16
better than anybody,16
don't know that,16
get it back,16
what kind of,16
i said and,16
at some of,16
you saw that,16
and we gotta,16
and when i,16
people but i,16
they get the,16
would be a,16
it's the same,16
make a fortune,16
making a fortune,16
only one that,16
this is not,16
no no no,16
i'll give you,16
by an illegal,16
love to run,16
do a great,16
i go in,16
i think we're,16
you know so,16
the first thing,16
he said you,16
of the big,16
it so we,16
is not a,16
right we have,16
not gonna do,16
all those cameras,16
about it i,16
rid of the,16
this and i,16
the hell are,16
how does it,14
it in the,14
said take the,14
our country needs,14
it we're going,14
a big heart,14
this and then,14
but i had,14
they get five,14
said to him,14
they said no,14
a wall and,14
most sought after,14
thing we can,14
to be right,14
country we don't,14
the mayor of,14
want to protect,14
know what i'm,14
going to pay,14
like this and,14
i said we,14
country and you,14
couple of days,14
take the lumps,14
to come into,14
we gotta take,14
read the art,14
than anybody else,14
they do the,14
world and i,14
the killing of,14
said don't go,14
thing and i,14
you know and,14
and they look,14
you can get,14
it's a disaster,14
that was a,14
america building in,14
it was just,14
i want you,14
was supposed to,14
better and stronger,14
it i think,14
south china sea,14
we have nothing,14
be nice to,14
seen anything like,14
and better and,14
i do like,14
in and they,14
not gonna let,14
used to be,14
that he said,14
i was going,14
said he'll never,14
they had the,14
before the world,14
care of you,14
i should have,14
you gonna do,14
the 24 days,14
that's not a,14
hundred billion dollars,14
trying to kill,14
that this is,14
of you have,14
do it so,14
i always say,14
to thank you,14
how many people,14
that's what it,14
their leaders are,14
that's a big,14
and i tell,14
god ever created,14
people that we,14
not supposed to,14
of the room,14
the super pacs,14
if you're not,14
it was gonna,14
so we are,14
i started this,14
in the usa,14
don't know why,14
put him in,14
do you have,14
know why they,14
i'm gonna make,14
because he was,14
the place and,14
me a lot,14
it better than,14
but that's ok,14
people coming in,14
i think he,14
you know all,14
debt tremendous cash,14
the fact that,14
then i said,14
go to a,14
he said no,14
i was like,14
people come in,14
this country we,14
not a bad,14
to be president,14
that would be,14
it up and,14
going to protect,14
and i i,14
in our country,14
no i don't,14
can't believe it,14
and if you,14
but they said,14
but he said,14
what do i,14
make it great,14
a lot but,14
gonna make america,14
have to help,14
come into our,14
me and they,14
of mine is,14
it is so,14
care of people,14
go through a,14
don't have that,14
i did you,14
know what we,14
all my life,14
dollars we have,14
over and over,14
couldn't care less,14
favor of common,14
they used to,14
you i will,14
the way it's,14
that and i,14
where they come,14
we have 28,14
we can get,14
kind of people,14
and i'm saying,14
made a speech,14
loaded up with,14
then you wonder,14
we're number one,14
have no choice,14
say mister president,14
can't get it,14
an illegal immigrant,14
on top of,14
hundreds of thousands,14
a problem if,14
i don't say,14
was on the,14
i brought up,14
to do a,14
i'm gonna do,14
great people and,14
a bad guy,14
our 2nd amendment,14
a few people,14
and if i,14
they said well,14
will make it,14
but i'll tell,14
do that we,14
thousands of lives,14
have you know,14
new hampshire we,14
so now they,14
super pacs are,14
said i was,14
but we need,14
george washington bridge,14
the first one,14
and we need,14
what's happening and,14
and thirty people,14
world and we,14
